03_7|(angry) 可恶的恶魔！你胡作非为，竟敢抓走公主！
11|(angry) It filled me with hope and righteous indignation.
03_17|(fear) 听到猫头鹰叫声的白雪公主，越走越觉得森林好可怕。
12|(fear) But for now and for numerous reasons, that is how things are.
03_11|(happy) 不久以后，王后果然生下了一个可爱的小公主。
1|(happy) If you love golf, then you can publish things about golf.
03_3|(sad) 天空布满乌云，阴风阵阵，就好像走到了阴曹地府。
38|(sad) Go to the bedroom and open the closet doors.
03_19|(surprise) 进入小木屋后，里面竟然整齐排列着七张小小的床。
6|(surprise) There are thirty one people in the hall.
03_10|(nectural) 公主瞬间喜欢上了勇士，他们从此过着幸福快乐的生活。
9|(neutral) You just wanted to scream or cry, or punch something.
